id,source_entity_id,destination_entity_id,amount,currency,occurred_at,reference,channel,metadata_json,created_at
d65c8c1a-b7ed-4988-8132-ba94035d18da,ade5885c-15f1-493c-a566-c0b9fcf1ec46,74cdcc11-1437-4e0a-b73a-c23212564ba0,809723.97,NGN,2026-01-21T08:39:28+00:00,GRACE-TX-0001262,atm,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Ogun""}",2026-01-21T08:39:28+00:00
31820791-2082-46c5-ac11-a3c0e9e4743a,2e1642ed-de82-4cf8-8591-4e165031b4b5,0a4ee100-803b-4307-ba73-90e3fc2a548e,214960.15,NGN,2026-01-21T09:00:28+00:00,GRACE-TX-0000492,web,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-21T09:00:28+00:00
12850b0f-a5ec-4cc6-abaa-c3a9e89df3dc,d7b6cb3f-d77a-4199-bcce-09b34d3c5916,4de2f421-39ee-4e7a-8761-c7aa09a1ec79,250071.81,NGN,2026-01-21T10:06:09+00:00,GRACE-TX-0000801,transfer,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-21T10:06:09+00:00
cd16650d-3e45-4021-933d-ea6b70dbe4d1,20666e38-2a73-473e-aef4-1b96533da9b1,e9fe1932-21cd-4679-b870-3d256729d64d,738889.57,NGN,2026-01-21T10:38:38+00:00,GRACE-TX-0001397,ussd,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-21T10:38:38+00:00
7f7f2153-8b8b-4174-8328-e02c6319eb20,62124c5f-209d-4253-8290-9c5f6d53c401,74f6f1bb-9092-44a4-a6ac-aec06bd62d11,281444.49,NGN,2026-01-21T11:02:34+00:00,GRACE-TX-0000729,mobile_app,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-21T11:02:34+00:00
1bcb33c7-a9bd-4e45-846a-7e67050df18b,3203f0aa-c5eb-4b9b-8cda-598c79db90ae,55f261a8-30ce-4d3d-9d3e-8a7660de97d8,40935.01,NGN,2026-01-21T11:33:30+00:00,GRACE-TX-0000595,web,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-21T11:33:30+00:00
bfeae59e-763e-42ed-a4f5-7e8e19654ec5,622a6710-fa19-4e5a-a63f-6279f791ae50,adfb3a2e-3735-45c9-97ea-412bc218d9a1,168226.97,NGN,2026-01-21T12:18:28+00:00,GRACE-TX-0001825,agent_bank,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T12:18:28+00:00
25342a54-39ff-4223-8b53-c01ae1b83943,277c5deb-092a-4459-a00d-edbf703a7d55,1c6cde6b-ff3c-4e5a-9378-2d012e8363a7,55254.94,NGN,2026-01-21T12:51:22+00:00,GRACE-TX-0001463,atm,"{""purpose"": ""agent_settlement"", ""pattern_tag"": """", ""location"": ""Abuja""}",2026-01-21T12:51:22+00:00
d083e4c4-8c28-41fa-aa19-fb0a4da88148,90ca90c2-db3d-4547-87ec-d90a3e7d22ee,25170c4b-f96d-4da8-9e5b-c215f997d7b1,289733.12,NGN,2026-01-21T13:04:12+00:00,GRACE-TX-0001006,ussd,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Delta""}",2026-01-21T13:04:12+00:00
adaeaef9-184a-45d4-9b6d-41d742c48730,79874023-5a18-4ca8-a7ee-add665decc18,4835d795-c6bc-40a0-a613-d2d90f239ac1,4604.19,NGN,2026-01-21T14:05:07+00:00,GRACE-TX-0000210,ussd,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T14:05:07+00:00
6358e789-4522-4f76-a560-40566642e082,e1663a9a-55d0-4362-8854-28df89ccddc0,47a24aaf-4e98-4256-9695-bbe561727453,369343.71,NGN,2026-01-21T15:18:53+00:00,GRACE-TX-0001398,web,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T15:18:53+00:00
d4ff9979-da33-4ffb-bae9-b1ef657ddb8e,1ca97262-ced4-448f-bb30-29417e9abfd0,762a05c3-79bf-4db6-86a7-9d2209728e3a,829430.92,NGN,2026-01-21T16:47:27+00:00,GRACE-TX-0000339,ussd,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T16:47:27+00:00
fd744bea-d5d2-4e71-ade1-27ac119a8526,eb1adf2f-03d4-4400-8960-01578fa6e06f,14f57c3e-138e-41a3-96f9-b980d0493159,656106.32,NGN,2026-01-21T16:47:37+00:00,GRACE-TX-0000718,web,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-21T16:47:37+00:00
75e3a6da-b5aa-476c-a3c6-27844242cca1,76ccb4d0-2f96-4d46-8190-724a1a8272bc,de6d3f18-84e5-4f54-89d6-8dc25b18e9bc,147239.74,NGN,2026-01-21T17:07:57+00:00,GRACE-TX-0001051,mobile_app,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Anambra""}",2026-01-21T17:07:57+00:00
acb1badc-7798-4f4c-926e-d09de1af930f,d8aa3dc6-1d49-4a6a-bc19-572f0d486076,b4b5c5a4-a0ce-48e1-9a2a-ecbfe0890ed3,214725.32,NGN,2026-01-21T18:35:36+00:00,GRACE-TX-0001912,pos,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Ogun""}",2026-01-21T18:35:36+00:00
b6ce471d-9951-4b6a-ace9-f37cf547c03c,04044aca-0079-40b9-8896-d9eff9434485,66cb9a8e-50b0-4f85-ba91-b1030807e53b,588890.49,NGN,2026-01-21T19:24:26+00:00,GRACE-TX-0001244,agent_bank,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Kaduna""}",2026-01-21T19:24:26+00:00
bc3a532a-24fd-45e2-a1b4-12ef99ee6c6e,85ea2968-d0bf-4de3-b230-65e396d128bb,4ac1d327-aaad-43cd-9825-6b8a638521b7,166174.42,NGN,2026-01-21T23:28:29+00:00,GRACE-TX-0000444,ussd,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-21T23:28:29+00:00
82ad32d7-31f8-44a9-a7ad-6491c7802a1b,f1b406ce-8d24-4517-880b-9f29a0fbdbd3,162c47c3-1e05-44f0-9419-e9f994d3067c,470787.56,NGN,2026-01-22T02:44:15+00:00,GRACE-TX-0000259,ussd,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-22T02:44:15+00:00
3ac8b9d4-ad5f-4261-a3e1-a47eec759bba,79871ae1-b999-4a2f-a26a-2d8574dd68ac,8f60dcac-80fc-4432-9845-35ad9dba2d99,704252.63,NGN,2026-01-22T03:28:37+00:00,GRACE-TX-0000562,agent_bank,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Delta""}",2026-01-22T03:28:37+00:00
fa0259eb-63ca-42dd-8c4f-97fb51d5cde0,b7e0f6eb-9d0e-4bbc-847b-b96c1ff33a04,f8ba122f-7a7a-4863-8904-34d4dc1469c1,100567.40,NGN,2026-01-22T04:51:21+00:00,GRACE-TX-0001875,mobile_app,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Oyo""}",2026-01-22T04:51:21+00:00
74278abd-f2f2-4c74-97e7-057d31f977a9,83e05c5d-3190-47da-a0b4-aaa4af94a725,21f577ef-d3d4-4488-bb64-89453b01a3ed,748009.85,NGN,2026-01-22T07:35:04+00:00,GRACE-TX-0000407,agent_bank,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-22T07:35:04+00:00
44b956bf-a0e8-4c24-90ff-e2f6454ad05b,b006d438-3121-4665-bcd8-33ba66834a63,1ed71ade-81c1-4d1c-9b94-c839a93efab8,629348.02,NGN,2026-01-22T08:44:49+00:00,GRACE-TX-0001528,agent_bank,"{""purpose"": ""inventory"", ""pattern_tag"": """", ""location"": ""Kaduna""}",2026-01-22T08:44:49+00:00
32685cfa-2338-43ce-a2e5-a1fd13ca55e4,86e97d2d-6379-4602-8c23-aaa4cb8d1828,ec4630d0-0f9a-42f1-9b16-c11ec00490ec,56976.81,NGN,2026-01-22T09:08:12+00:00,GRACE-TX-0000695,atm,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-22T09:08:12+00:00
01553760-b97b-4714-9033-dbf82fb7be8f,5cd340be-532a-4938-8e7b-45d640021619,1981c70b-a895-479c-84e9-f97ec9f29725,102418.35,NGN,2026-01-22T09:18:52+00:00,GRACE-TX-0001808,atm,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-22T09:18:52+00:00
41286695-46c6-4dac-ad78-e8bc78cd5a11,2adc01bb-1234-4a10-82ce-74b170be95cf,e69d6f99-9171-4cf2-b45d-762e8048cd96,167767.65,NGN,2026-01-22T10:21:03+00:00,GRACE-TX-0001552,mobile_app,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Kaduna""}",2026-01-22T10:21:03+00:00
f0c6913e-9857-401f-b9eb-80383e9f526c,86266299-3532-4218-b6d2-e9602e171919,0426f7fa-e16a-4cda-a558-b5d88852e072,868749.25,NGN,2026-01-22T12:13:01+00:00,GRACE-TX-0000920,web,"{""purpose"": ""agent_settlement"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-22T12:13:01+00:00
dbb9fa85-b6b0-48c8-9bf4-77a199dd8014,b9f269aa-42e7-41e9-989d-7579fd48fd24,0d7e5916-d5ab-4b65-9e22-fedb91eeb9bf,615087.55,NGN,2026-01-22T12:49:36+00:00,GRACE-TX-0001228,web,"{""purpose"": ""cash_deposit"", ""pattern_tag"": """", ""location"": ""Anambra""}",2026-01-22T12:49:36+00:00
47d88589-17b0-47c2-a9d3-832474ff37d2,9d75ead1-f737-4682-afa2-cda64cdf1281,30dcd7c4-0a8f-4a08-ad02-5988a56f32a6,496378.70,NGN,2026-01-22T16:30:02+00:00,GRACE-TX-0000154,agent_bank,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Anambra""}",2026-01-22T16:30:02+00:00
d95fb852-3c8b-4abe-a407-9edda2f38c1e,4d24bb7e-d797-4669-8c6b-a0bdd15bbfa9,a639d193-eb06-4100-9dc6-da0b377c77ca,605804.85,NGN,2026-01-22T17:31:12+00:00,GRACE-TX-0001948,transfer,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-22T17:31:12+00:00
c4a3d15a-10ac-4927-8b50-daaa631f9186,01fbb604-e286-4351-9e30-828d11dceada,f509bcac-666b-4ce7-92af-09f38be7a2ad,118180.11,NGN,2026-01-22T19:16:36+00:00,GRACE-TX-0001736,atm,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-22T19:16:36+00:00
f845aa3d-2965-43d5-a7df-a604164fc136,97065db5-e93d-4284-9286-c27fc9cc7243,727d2f36-63bf-4f3a-95a4-18b478739f79,111912.03,NGN,2026-01-22T19:33:50+00:00,GRACE-TX-0000892,pos,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Ogun""}",2026-01-22T19:33:50+00:00
5410c7a7-4c1d-44b8-b493-afe37136841d,dd6d5fd9-7238-4a6f-a9a4-c97a4f185b13,d765436b-a609-4f0d-b4c5-e69f1c5d3d1f,174957.38,NGN,2026-01-22T21:08:29+00:00,GRACE-TX-0002000,agent_bank,"{""purpose"": ""invoice_payment"", ""pattern_tag"": """", ""location"": ""Anambra""}",2026-01-22T21:08:29+00:00
426cad4f-dbc0-4b51-b89a-8f24a378d111,8b5e2039-ec2c-431a-ba23-d8c27e905963,090a684a-43ec-4058-813b-4c225cf11149,298744.86,NGN,2026-01-22T21:16:24+00:00,GRACE-TX-0001345,pos,"{""purpose"": ""agent_settlement"", ""pattern_tag"": """", ""location"": ""Enugu""}",2026-01-22T21:16:24+00:00
8992645e-6bf0-4d48-bf35-d11332eeed2b,4b0c49af-2d92-44e3-adb1-c75f579ed67b,ade5885c-15f1-493c-a566-c0b9fcf1ec46,506283.48,NGN,2026-01-22T21:59:07+00:00,GRACE-TX-0000681,ussd,"{""purpose"": ""transfer"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-22T21:59:07+00:00
4e00a6c9-d10d-4098-80f7-66b441a3e578,b13dc90e-728d-45aa-b555-6ce986680458,7e53be9c-98e9-447a-a512-ea3c7dda40ff,231222.18,NGN,2026-01-23T02:06:36+00:00,GRACE-TX-0000580,transfer,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Kaduna""}",2026-01-23T02:06:36+00:00
37647622-d1e3-4c10-8b14-c657c77326fb,9efedd28-fd18-446a-935d-bcfc7b6c0d4f,79874023-5a18-4ca8-a7ee-add665decc18,302604.33,NGN,2026-01-23T02:46:55+00:00,GRACE-TX-0001823,transfer,"{""purpose"": ""supplier_payment"", ""pattern_tag"": """", ""location"": ""Rivers""}",2026-01-23T02:46:55+00:00
dc07acd4-84d4-4e43-8d5e-4d60f1f81fc8,73aab0f8-88cb-4a59-890a-5e518935f644,89581425-b794-4010-804c-675886eefbf4,60481.05,NGN,2026-01-23T03:37:15+00:00,GRACE-TX-0001807,ussd,"{""purpose"": ""salary"", ""pattern_tag"": """", ""location"": ""Lagos""}",2026-01-23T03:37:15+00:00
